X	Feature Profile 1	X	Feature Profile 2	X	Feature Profile 3	X	Feature Profile 4	X	Feature Profile 5
10,7952059476	119,372027744	10,7952059476	113,599692276	10,7952059476	123,035058545	10,7952059476	111,853146981	10,7952059476	121,194506227
11,1950283907	119,408221888	11,1950283907	113,615522523	11,1950283907	123,026947648	11,1950283907	111,821558611	11,1950283907	121,188963801
11,594850833	119,474769954	11,594850833	113,622552901	11,594850833	122,983581934	11,594850833	111,818982894	11,594850833	121,159815549
11,9946732753	119,532602764	11,9946732753	113,623754864	11,9946732753	122,917124259	11,9946732753	111,827633343	11,9946732753	121,136271835
12,3944957177	119,519864121	12,3944957177	113,649581289	12,3944957177	122,861132826	12,3944957177	111,854901277	12,3944957177	121,13570531
12,7943181608	119,513325223	12,7943181608	113,673800981	12,7943181608	122,790386242	12,7943181608	111,911843281	12,7943181608	121,105050982
13,1941406031	119,490226219	13,1941406031	113,668103981	13,1941406031	122,717431814	13,1941406031	111,937347664	13,1941406031	121,04146244
13,5939630455	119,477485373	13,5939630455	113,665028753	13,5939630455	122,657110758	13,5939630455	111,950699546	13,5939630455	121,029094676
13,9937854878	119,441258057	13,9937854878	113,64992437	13,9937854878	122,588674212	13,9937854878	111,859807669	13,9937854878	120,999582545
14,3936079309	119,446549977	14,3936079309	113,650635162	14,3936079309	122,4704206	14,3936079309	111,760329792	14,3936079309	121,010232627
14,7934303732	119,445131487	14,7934303732	113,654630993	14,7934303732	122,431457158	14,7934303732	111,736911315	14,7934303732	120,993848652
15,1932528156	119,43788873	15,1932528156	113,666034698	15,1932528156	122,373597376	15,1932528156	111,74253518	15,1932528156	120,936532596
15,5930752578	119,426379936	15,5930752578	113,677765982	15,5930752578	122,321936132	15,5930752578	111,705869108	15,5930752578	120,849067122
15,992897701	119,41245845	15,992897701	113,704095677	15,992897701	122,289346801	15,992897701	111,711383481	15,992897701	120,775360912
16,3927201433	119,41967723	16,3927201433	113,705000273	16,3927201433	122,260265418	16,3927201433	111,609502081	16,3927201433	120,75765648
16,7925425857	119,426188483	16,7925425857	113,724819427	16,7925425857	122,236463332	16,7925425857	111,60627976	16,7925425857	120,723282623
17,192365028	119,440118404	17,192365028	113,73097014	17,192365028	122,213509316	17,192365028	111,618460503	17,192365028	120,651758308
17,5921874703	119,412379649	17,5921874703	113,74314978	17,5921874703	122,187836909	17,5921874703	111,605503155	17,5921874703	120,575707311
17,9920099135	119,397141703	17,9920099135	113,727652064	17,9920099135	122,226938005	17,9920099135	111,570959872	17,9920099135	120,509476357
18,3918323557	119,364546401	18,3918323557	113,71697392	18,3918323557	122,216975555	18,3918323557	111,562421019	18,3918323557	120,466927405
